Bypass Authorization
Tool;Recall;Recall*Informedness;F-measure;Markedness;Tie1;Tie2;Tie3;Tie4;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('OWASP ZAP', 'BurpSuite');0;0;0;0;0;0;0;0;44;44;44;44;85;85;85;85;1;1;1;1;34;34;34;34;
('OWASP ZAP', 'Iron Wasp');0;0;0;0;0;0;0;0;44;44;44;44;85;85;85;85;1;1;1;1;34;34;34;34;
('OWASP ZAP', 'Acunetix');0;0;0;0;0;0;0;0;44;44;44;44;85;85;85;85;1;1;1;1;34;34;34;34;
('OWASP ZAP', 'Wapiti');0;0;0;0;0;0;0;0;65;65;65;44;64;64;64;85;10;10;10;1;25;25;25;34;
('OWASP ZAP', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;69;69;69;44;60;60;60;85;12;12;12;1;23;23;23;34;
('BurpSuite', 'Iron Wasp');0;0;0;0;0;0;0;0;31;31;31;10;98;98;98;119;0;0;0;1;35;35;35;34;
('BurpSuite', 'Acunetix');0;0;0;0;0;0;0;0;31;31;31;1;98;98;98;128;0;0;0;0;35;35;35;35;
('BurpSuite', 'Wapiti');0;0;0;0;0;0;0;0;65;65;65;65;64;64;64;64;10;10;10;10;25;25;25;25;
('BurpSuite', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;69;69;69;69;60;60;60;60;12;12;12;12;23;23;23;23;
('Iron Wasp', 'Acunetix');0;0;0;0;0;0;0;0;10;10;10;10;119;119;119;119;1;1;1;1;34;34;34;34;
('Iron Wasp', 'Wapiti');0;0;0;0;0;0;0;0;65;65;65;65;64;64;64;64;10;10;10;10;25;25;25;25;
('Iron Wasp', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;69;69;69;69;60;60;60;60;12;12;12;12;23;23;23;23;
('Acunetix', 'Wapiti');0;0;0;0;0;0;0;0;65;65;65;65;64;64;64;64;10;10;10;10;25;25;25;25;
('Acunetix', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;69;69;69;69;60;60;60;60;12;12;12;12;23;23;23;23;
('Wapiti', 'OWASP ZAP Plugins');0;0;0;0;0;0;0;0;65;69;69;65;64;60;60;64;10;12;12;10;25;23;23;25;


Path Traversal
